ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000166224.12	8	6	37	0	136	0	0	0
ENSG00000102897.5	4	8	4	0	125	0	0	0
ENSG00000010295.15	42	4	10	0	76	0	0	0
ENSG00000253766.1	0	0	0	0	0	0	0	1
ENSG00000225193.5	0	0	0	0	0	0	2	0
ENSG00000260630.2	0	0	0	0	0	0	32	144
ENSG00000234268.1	0	0	0	0	0	0	1	0
ENSG00000147533.12	2	6	7	0	35	0	0	0
ENSG00000254681.2	0	0	0	0	0	0	102	32
ENSG00000106246.13	14	3	6	0	173	0	0	0
ENSG00000203711.7	0	0	0	0	1	0	0	0
ENSG00000168175.10	14	1	17	0	84	0	0	0
ENSG00000206633.1	0	0	0	0	0	0	378	0
ENSG00000117868.11	39	1	14	0	313	0	0	0
ENSG00000177173.5	0	0	0	0	0	0	3	0
ENSG00000229917.2	0	0	0	0	0	0	2	0
ENSG00000174332.3	1	0	1	0	11	0	0	0
ENSG00000042832.7	0	0	0	0	5	0	0	0
ENSG00000177418.1	0	0	0	0	0	0	3	0
ENSG00000159733.9	0	0	0	0	59	0	0	0
ENSG00000125409.8	1	0	0	0	4	0	0	0
ENSG00000220785.3	0	0	0	0	0	0	9	9
ENSG00000117425.9	3	1	193	0	20	0	0	0
ENSG00000034063.9	0	0	0	0	0	0	9	59
ENSG00000140575.8	23	1	8	0	91	0	0	0
ENSG00000254673.1	3	0	0	0	146	0	0	0
ENSG00000272927.1	0	0	0	0	0	0	1	0
ENSG00000250948.1	0	0	0	0	0	0	0	1
ENSG00000106992.13	5	6	4	0	17	0	0	0
ENSG00000167074.10	1	1	12	0	12	0	0	0
ENSG00000143479.11	1	0	0	0	0	0	1	2
ENSG00000261014.1	0	0	0	0	0	0	0	1
ENSG00000119514.5	0	0	0	0	2	0	0	0
ENSG00000223861.1	0	0	0	0	0	0	2	0
ENSG00000108510.5	61	5	26	0	729	0	0	0
ENSG00000232527.3	0	0	0	0	0	0	7	195
ENSG00000206052.6	10	3	12	0	1013	0	0	0
ENSG00000261118.1	0	0	0	0	0	0	1	16
ENSG00000085832.12	26	2	9	0	274	0	0	0
ENSG00000237152.2	0	0	0	0	0	0	3	122
ENSG00000269711.1	1	0	0	0	9	0	0	0
ENSG00000251569.1	0	0	0	0	29	0	0	0
ENSG00000100519.7	5	0	2	0	58	0	0	0
ENSG00000236758.1	0	0	0	0	0	0	0	1
ENSG00000121690.5	3	0	0	0	13	0	0	0
ENSG00000080371.4	9	4	24	0	73	0	0	0
ENSG00000185860.9	0	0	1	0	0	0	0	1
ENSG00000270937.1	0	0	0	0	0	0	1	0
ENSG00000117010.11	2	0	2	0	35	0	0	0
ENSG00000182158.10	42	17	199	0	966	0	0	0
ENSG00000151320.6	2	0	1	0	38	0	0	0
ENSG00000228434.1	0	0	0	0	0	0	12	8
ENSG00000171444.13	1	0	0	0	59	0	0	0
ENSG00000081842.13	0	0	0	0	6	0	0	0
ENSG00000149781.8	5	2	0	0	19	0	0	0
ENSG00000226690.2	0	0	0	0	0	0	0	2
ENSG00000039560.9	8	5	2	0	203	0	0	0
ENSG00000251629.2	0	0	0	0	0	0	0	9
ENSG00000101745.11	29	16	8	0	376	0	0	0
ENSG00000162032.11	12	1	3	0	35	0	0	0
ENSG00000111775.2	12	0	0	0	3	0	0	0
ENSG00000214402.6	0	1	0	0	0	0	0	0
ENSG00000167881.10	26	4	6	0	176	0	0	0
ENSG00000254318.1	0	0	0	0	1	0	0	0
ENSG00000232907.3	0	0	0	0	0	0	9	481
