ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000108771.8	3	1	0	0	17	0	0	0
ENSG00000254859.1	0	0	0	0	0	0	2	4
ENSG00000113946.3	0	0	0	0	0	0	0	2
ENSG00000138134.7	0	0	0	0	4	0	0	0
ENSG00000254245.1	0	0	12	0	50	0	0	0
ENSG00000003987.9	0	0	0	0	1	0	0	0
ENSG00000106078.13	8	4	5	0	418	0	0	0
ENSG00000124571.13	34	3	13	0	144	0	0	0
ENSG00000038945.10	0	0	0	0	2	0	0	0
ENSG00000177700.5	8	0	6	0	6	0	7	23
ENSG00000213920.4	4	1	1	0	11	0	0	0
ENSG00000025800.9	6	2	49	0	92	0	0	0
ENSG00000079150.13	0	0	0	0	9	0	0	0
ENSG00000265442.1	0	0	0	0	0	0	1	0
ENSG00000074855.6	100	0	1	0	183	0	0	0
ENSG00000269082.1	0	0	0	0	0	0	0	2
ENSG00000250195.1	0	0	0	0	0	0	0	16
ENSG00000134716.5	2	0	0	0	16	0	0	0
ENSG00000267988.1	0	0	0	0	2	0	0	0
ENSG00000132467.2	7	1	0	0	0	0	0	0
ENSG00000272473.1	0	0	0	0	0	0	1	0
ENSG00000185250.11	0	0	0	0	2	0	0	0
ENSG00000188706.8	3	1	20	0	59	0	0	0
ENSG00000152409.8	14	3	37	0	104	0	0	0
ENSG00000155506.12	169	83	164	0	769	0	0	0
ENSG00000108001.9	0	0	0	0	3	0	0	0
ENSG00000226009.1	0	0	0	0	0	0	0	20
ENSG00000201907.1	0	0	0	0	0	0	1	0
ENSG00000141867.13	178	32	285	0	1755	0	0	0
ENSG00000246582.2	0	0	0	0	0	0	3	0
ENSG00000130204.8	17	4	83	0	56	0	0	0
ENSG00000067248.5	3	0	0	0	29	0	0	0
ENSG00000138448.7	17	4	34	0	158	0	0	0
ENSG00000108061.7	2	2	5	0	109	0	0	0
ENSG00000227136.2	0	0	0	0	0	0	0	1
ENSG00000107295.8	0	0	0	0	5	0	0	0
ENSG00000230131.1	0	0	0	0	0	0	0	39
ENSG00000113387.7	7	23	8	0	245	0	0	0
ENSG00000101442.8	7	0	1	0	79	0	0	0
ENSG00000117266.11	23	11	32	0	425	0	0	0
ENSG00000147123.10	4	0	0	0	3	0	0	0
ENSG00000269458.1	0	0	0	0	0	0	1	0
ENSG00000130725.3	12	33	15	0	63	0	0	0
ENSG00000224113.2	0	0	0	0	0	0	19	0
ENSG00000159753.9	35	1	0	0	56	0	0	0
ENSG00000084072.12	2	0	2	0	21	0	0	0
ENSG00000225855.2	0	0	0	0	0	0	7	12
ENSG00000170017.8	3	7	18	0	402	0	0	0
ENSG00000250548.2	0	0	0	0	0	0	2	1
ENSG00000268729.1	0	0	0	0	0	0	3	0
ENSG00000161551.8	4	8	0	0	33	0	0	0
ENSG00000224043.3	0	0	0	0	0	0	3	42
ENSG00000202444.1	0	0	0	0	0	0	14	0
ENSG00000005238.15	4	12	0	0	4	0	0	0
ENSG00000068885.10	4	0	2	0	44	0	0	0
ENSG00000254207.1	0	0	0	0	0	0	3	26
ENSG00000164465.14	14	1	20	0	176	0	0	0
ENSG00000230058.1	0	0	0	0	0	0	0	3
ENSG00000148346.7	0	0	4	0	3	0	0	0
ENSG00000259802.1	0	0	0	0	0	0	1	0
ENSG00000121858.6	0	0	0	0	8	0	0	0
ENSG00000222365.1	0	0	0	0	0	0	106	0
ENSG00000171150.7	15	9	22	0	256	0	0	0
ENSG00000089351.10	38	5	6	0	713	0	0	0
ENSG00000177706.8	25	0	7	0	1324	0	0	0
ENSG00000180900.12	172	8	2	0	1068	0	0	0
ENSG00000232498.1	0	0	0	0	0	0	1	18
ENSG00000168297.11	2	3	5	0	102	0	0	0
ENSG00000199630.1	0	0	0	0	0	0	1	0
ENSG00000268656.1	0	0	0	0	2	0	0	0
ENSG00000201744.1	0	0	0	0	0	0	1	0
ENSG00000260359.1	0	0	0	0	0	0	1	0
ENSG00000105171.5	0	0	4	0	5	0	0	0
ENSG00000105705.11	16	0	0	0	149	0	0	0
ENSG00000142409.4	50	13	48	0	1261	0	0	0
ENSG00000177669.3	0	0	0	0	1	0	0	0
ENSG00000133935.6	2	1	7	0	8	0	0	0
ENSG00000163539.11	13	1	7	0	235	0	0	0
ENSG00000198517.5	8	20	243	0	468	0	0	0
ENSG00000131482.5	4	0	7	0	19	0	0	0
ENSG00000111713.2	0	0	0	0	1	0	0	0
ENSG00000151065.9	1	0	0	0	77	0	0	0
ENSG00000213560.4	0	0	0	0	0	0	1	0
ENSG00000135862.5	42	8	28	0	304	0	0	0
ENSG00000252577.1	0	0	0	0	0	0	13	0
ENSG00000086506.2	1	1	2	0	8	0	0	0
ENSG00000182319.5	51	30	1	0	723	0	0	0
ENSG00000167987.6	15	2	22	0	173	0	0	0
ENSG00000122435.5	3	0	3	0	27	0	0	0
ENSG00000120306.5	1	3	8	0	118	0	0	12
ENSG00000266913.1	0	0	0	0	0	0	0	3
ENSG00000147642.12	2	3	9	0	65	0	0	0
ENSG00000105556.6	14	0	42	0	575	0	0	0
ENSG00000160883.6	0	0	0	0	1	0	0	0
ENSG00000120669.11	0	0	0	0	4	0	0	0
ENSG00000180346.2	2	0	0	0	0	0	0	0
ENSG00000251521.2	0	0	0	0	0	0	0	3
ENSG00000255240.1	0	0	0	0	0	0	0	1
ENSG00000153303.12	0	0	0	0	1	0	0	0
ENSG00000230850.3	0	0	0	0	0	0	2	154
ENSG00000144134.14	2	0	0	0	32	0	0	0
ENSG00000176148.11	4	0	0	0	39	0	0	0
ENSG00000187742.10	6	2	5	0	200	0	0	0
ENSG00000108384.10	1	0	0	0	13	0	0	0
ENSG00000241529.2	0	0	0	0	0	0	2	0
ENSG00000188739.10	2	0	1	0	65	0	0	0
ENSG00000081913.9	27	1	5	0	1087	0	0	0
ENSG00000170153.6	1	0	0	0	3	0	0	0
ENSG00000197779.9	2	2	13	0	43	0	0	0
ENSG00000231817.3	0	0	0	0	0	0	0	1
ENSG00000117682.12	11	2	20	0	70	0	0	0
ENSG00000102221.9	4	10	3	0	157	0	0	0
ENSG00000101911.8	2	1	1	0	34	0	0	0
ENSG00000206625.1	0	0	0	0	0	0	4	0
ENSG00000268364.1	0	0	0	0	0	0	3	123
ENSG00000258938.1	0	0	0	0	0	0	1	0
ENSG00000100216.4	6	0	8	0	9	0	0	0
ENSG00000162236.7	8	3	17	0	78	0	0	0
ENSG00000163069.8	2	0	10	0	7	0	0	0
ENSG00000130669.13	17	1	45	0	565	0	0	0
ENSG00000136040.4	7	0	2	0	279	0	0	0
ENSG00000198794.7	7	5	21	0	164	0	0	4
ENSG00000135164.14	4	11	2	0	142	0	0	0
ENSG00000272910.1	0	0	0	0	0	0	2	0
ENSG00000248367.1	0	0	0	0	0	0	2	18
ENSG00000243280.2	0	0	0	0	0	0	1	0
ENSG00000088280.14	33	0	25	0	248	0	0	0
ENSG00000245532.4	0	0	0	0	0	0	64236	0
ENSG00000150403.13	17	6	3	0	826	0	0	0
ENSG00000123933.10	15	8	105	0	766	0	0	0
ENSG00000006530.11	6	0	5	0	128	0	0	0
ENSG00000233048.1	0	0	0	0	0	0	0	1
ENSG00000114346.9	10	2	11	0	95	0	0	0
ENSG00000265636.1	0	0	0	0	0	0	2	0
ENSG00000164647.4	0	0	0	0	2	0	0	0
ENSG00000151702.12	0	0	0	0	1	0	0	0
ENSG00000261775.1	0	0	0	0	0	0	0	40
ENSG00000163840.5	2	0	6	0	8	0	0	0
ENSG00000256092.2	0	0	0	0	0	0	47	0
ENSG00000168872.11	11	2	8	0	89	0	0	0
ENSG00000115310.13	32	15	38	0	364	0	0	0
ENSG00000155816.15	0	0	0	0	1	0	0	0
ENSG00000221909.2	1	3	1	0	8	0	0	0
ENSG00000269318.1	0	0	0	0	0	0	13	0
ENSG00000148948.3	0	0	0	0	3	0	0	0
ENSG00000052802.8	6	52	16	0	69	0	0	0
ENSG00000188566.7	28	0	8	0	136	0	0	0
ENSG00000110911.10	7	27	16	0	82	0	0	0
ENSG00000230286.1	0	0	0	0	0	0	0	4
ENSG00000203709.5	0	0	0	0	0	0	227	201
ENSG00000162882.10	12	1	9	0	167	0	0	0
ENSG00000164649.15	1	0	2	0	5	0	0	0
ENSG00000260682.2	0	0	0	0	0	0	1	0
ENSG00000182518.9	1	0	0	0	0	0	0	0
ENSG00000120137.6	6	3	69	0	121	0	0	0
ENSG00000212978.5	0	0	0	0	0	0	2	1
ENSG00000257169.1	0	0	0	0	0	0	1	0
ENSG00000165025.10	0	0	0	0	1	0	0	0
ENSG00000272056.1	0	0	0	0	0	0	3	0
ENSG00000177359.13	0	0	0	0	0	0	20	3
ENSG00000111885.5	81	29	71	0	1581	0	0	0
ENSG00000146535.9	13	15	64	0	527	0	0	0
ENSG00000121851.8	1	0	1	0	3	0	0	0
ENSG00000076716.7	0	0	0	0	5	0	0	0
ENSG00000114388.8	10	0	0	0	121	0	0	0
ENSG00000259108.2	0	0	0	0	0	0	0	1
ENSG00000273258.1	0	0	0	0	0	0	1	0
ENSG00000204380.2	0	0	0	0	0	0	0	1
ENSG00000253194.1	0	0	0	0	0	0	3	17
ENSG00000263963.1	0	0	0	0	0	0	1	0
ENSG00000101104.8	122	281	13	0	514	0	0	0
ENSG00000165527.5	4	16	24	0	1	0	0	0
ENSG00000267221.1	0	0	0	0	0	0	1	3
ENSG00000119927.9	36	8	275	0	453	0	8	887
ENSG00000065183.11	6	0	8	0	13	0	0	0
ENSG00000100991.7	85	0	135	0	1096	0	0	0
ENSG00000102760.12	0	0	0	0	12	0	0	0
ENSG00000130299.12	49	6	10	0	393	0	0	0
ENSG00000123989.9	97	16	28	0	14	0	0	0
ENSG00000117691.5	1	0	0	0	21	0	0	0
ENSG00000241899.1	0	0	0	0	0	0	0	1
ENSG00000131116.7	17	2	16	0	304	0	0	0
ENSG00000184925.7	8	0	0	0	118	0	5	88
ENSG00000234230.1	0	0	0	0	0	0	0	2
ENSG00000197681.8	0	1	0	0	56	0	0	0
ENSG00000250303.2	0	0	0	0	0	0	1	67
ENSG00000140481.9	0	0	0	0	1	0	0	0
ENSG00000271200.1	0	0	0	0	0	0	7	0
ENSG00000269936.2	0	0	0	0	0	0	3	0
ENSG00000147509.9	0	3	0	0	55	0	0	0
ENSG00000144481.12	0	0	0	0	2	0	0	0
ENSG00000143198.8	3	3	1	0	22	0	0	0
ENSG00000232100.1	0	0	0	0	0	0	0	1
ENSG00000093217.5	19	2	30	0	730	0	1	18
ENSG00000105792.15	0	0	0	0	19	0	0	0
ENSG00000121905.5	0	0	0	0	1	0	0	0
ENSG00000138760.4	6	4	24	0	41	0	0	0
ENSG00000262660.1	34	3	28	0	1035	0	0	0
ENSG00000267786.1	0	0	0	0	0	0	0	3
ENSG00000185527.7	0	1	0	0	3	0	0	0
ENSG00000161647.14	3	0	0	0	67	0	0	0
ENSG00000251192.3	0	1	0	0	42	0	0	0
ENSG00000121903.10	4	0	1	0	34	0	0	0
ENSG00000108306.7	5	7	9	0	201	0	0	0
ENSG00000255639.2	0	0	0	0	0	0	4	40
ENSG00000136108.10	1	0	6	0	22	0	0	0
ENSG00000269365.1	0	0	0	0	0	0	1	4
ENSG00000268686.1	0	0	0	0	0	0	0	1
ENSG00000256005.1	0	0	0	0	0	0	189	17
ENSG00000115267.5	2	0	0	0	9	0	0	0
ENSG00000096384.15	294	32	73	0	262	0	0	0
ENSG00000272923.1	0	0	0	0	0	0	5	2
ENSG00000198712.1	240	0	0	0	0	0	0	0
ENSG00000273420.1	0	0	0	0	0	0	13	0
ENSG00000114737.11	0	1	0	0	3	0	0	0
ENSG00000116096.5	3	0	3	0	6	0	0	0
ENSG00000100034.9	14	10	52	0	93	0	0	0
ENSG00000143842.10	13	4	22	0	407	0	6	0
ENSG00000076351.8	9	1	34	0	27	0	0	0
ENSG00000164611.8	4	1	0	0	4	0	0	0
ENSG00000130475.10	12	3	0	0	107	0	0	0
ENSG00000120256.5	12	0	9	0	138	0	0	0
ENSG00000250290.1	0	0	0	0	0	0	1	0
ENSG00000269307.1	0	0	0	0	0	0	7	90
ENSG00000133246.7	0	0	0	0	1	0	0	0
ENSG00000204792.2	0	0	0	0	0	0	0	5
ENSG00000250842.1	0	0	0	0	0	0	0	4
ENSG00000160469.12	2	1	0	0	10	0	0	0
ENSG00000186615.6	0	0	0	0	0	0	1	34
ENSG00000206612.1	0	0	0	0	0	0	3	0
ENSG00000047644.13	4	4	3	0	81	0	0	0
ENSG00000264021.1	0	0	0	0	0	0	1	0
ENSG00000273036.1	0	0	0	0	0	0	10	14
ENSG00000263603.1	0	0	0	0	0	0	5	3
ENSG00000175556.12	1	5	0	0	49	0	0	0
ENSG00000026103.15	2	1	0	0	7	0	0	0
ENSG00000221585.1	0	0	0	0	0	0	4	0
ENSG00000154265.11	4	22	4	0	107	0	0	0
ENSG00000235560.3	0	0	0	0	0	0	2	0
ENSG00000072778.15	138	3	5	0	266	0	0	0
ENSG00000231871.1	0	0	0	0	0	0	0	3
ENSG00000232846.1	0	0	0	0	0	0	2	0
ENSG00000232823.2	0	0	0	0	0	0	1	0
ENSG00000130714.11	11	3	8	0	64	0	0	0
ENSG00000188996.4	1	0	0	0	0	0	0	0
ENSG00000130770.13	6	2	46	0	0	0	0	0
ENSG00000236213.1	0	0	0	0	0	0	0	2
ENSG00000225991.1	0	0	0	0	0	0	1	0
ENSG00000197142.6	19	6	1	0	137	0	0	0
ENSG00000200225.1	0	0	0	0	0	0	1	0
ENSG00000198718.8	4	2	0	0	59	0	0	0
ENSG00000108468.10	3	17	14	0	31	0	0	0
ENSG00000112851.10	49	3	14	0	336	0	0	0
ENSG00000272162.1	0	0	0	0	0	0	2	358
ENSG00000115419.8	36	7	33	0	457	0	0	0
ENSG00000227394.1	0	0	0	0	0	0	1	0
ENSG00000146072.6	41	18	30	0	937	0	0	0
ENSG00000111615.8	2	0	9	0	34	0	0	0
ENSG00000221182.1	0	0	0	0	0	0	1	0
ENSG00000254444.1	0	0	0	0	0	0	0	1
ENSG00000071794.11	4	0	1	0	26	0	0	0
ENSG00000108239.8	3	1	6	0	171	0	0	0
ENSG00000176024.12	1	2	0	0	24	0	0	0
ENSG00000143727.11	25	1	23	0	151	0	0	0
ENSG00000247095.2	0	0	0	0	0	0	14	58
ENSG00000107036.7	9	1	7	0	286	0	0	0
ENSG00000252114.1	0	0	0	0	0	0	1	0
ENSG00000273391.1	0	0	0	0	0	0	2	0
ENSG00000127022.10	79	18	264	0	111	0	0	0
ENSG00000177694.10	0	0	0	0	10	0	0	0
ENSG00000175161.9	0	0	0	0	5	0	0	0
ENSG00000134698.10	1	3	16	0	38	0	0	0
ENSG00000129667.8	28	31	7	0	532	0	0	0
ENSG00000113734.13	2	0	1	0	10	0	0	0
ENSG00000251661.3	0	0	0	0	0	0	0	6
ENSG00000169184.5	0	0	0	0	4	0	0	0
ENSG00000047249.12	3	6	3	0	268	0	0	0
ENSG00000249673.2	0	0	0	0	0	0	5	10
ENSG00000127511.5	45	4	31	0	553	0	0	0
ENSG00000176654.8	0	0	0	0	0	0	0	2
ENSG00000175267.10	0	0	0	0	1	0	0	0
ENSG00000158955.6	1	0	0	0	3	0	0	0
ENSG00000250182.2	0	0	0	0	0	0	3	0
ENSG00000230133.1	0	0	0	0	0	0	0	1
ENSG00000113119.8	44	1	17	0	113	0	0	0
ENSG00000271138.1	0	0	0	0	0	0	7	8
ENSG00000138080.9	54	9	2	0	20	0	0	0
ENSG00000265393.1	0	0	0	0	0	0	27	49
ENSG00000247270.2	0	0	1	0	0	0	0	0
ENSG00000181408.2	1	0	0	0	0	0	0	0
ENSG00000241322.4	0	0	0	0	1	0	0	0
ENSG00000221656.1	0	0	0	0	0	0	2	0
ENSG00000226015.2	0	0	0	0	0	0	12	0
ENSG00000076248.6	1	0	8	0	30	0	0	0
ENSG00000118004.13	1	2	0	0	95	0	0	0
ENSG00000112210.7	0	1	2	0	34	0	0	0
ENSG00000117791.11	1	0	2	0	40	0	0	0
ENSG00000228933.3	0	0	0	0	0	0	1	154
ENSG00000261656.1	0	0	0	0	0	0	0	2
ENSG00000116161.13	2	8	2	0	13	0	0	0
ENSG00000121380.8	0	0	0	0	6	0	0	0
ENSG00000078668.9	6	0	6	0	29	0	0	0
ENSG00000241269.1	0	0	0	0	0	0	1	0
ENSG00000156234.7	0	0	0	0	4	0	0	0
ENSG00000188157.9	407	6	91	0	4989	0	0	0
ENSG00000228983.4	0	0	0	0	0	0	0	3
ENSG00000112379.8	3	1	8	0	89	0	0	0
ENSG00000021645.13	0	0	0	0	9	0	0	0
ENSG00000188070.8	0	0	0	0	0	0	116	52
ENSG00000160963.9	1	0	19	0	151	0	0	0
ENSG00000168118.7	2	4	15	0	168	0	0	0
ENSG00000139219.13	17	2	1	0	30	0	0	0
ENSG00000138119.12	0	0	0	0	6	0	0	0
ENSG00000175899.10	867	16	8	0	1523	0	0	0
ENSG00000164167.5	0	1	0	0	10	0	0	5
ENSG00000198168.4	1	0	15	0	3	0	0	1
ENSG00000260120.1	0	0	0	0	0	0	0	1
ENSG00000266866.1	0	0	0	0	0	0	3	0
ENSG00000181652.14	0	0	0	0	4	0	0	0
ENSG00000264518.1	0	0	0	0	0	0	3	0
ENSG00000205592.9	0	0	1	0	1	0	0	0
ENSG00000184009.5	96	93	79	0	236	0	0	0
ENSG00000114744.4	1	0	3	0	15	0	0	0
ENSG00000167800.9	0	0	0	0	3	0	0	0
ENSG00000067560.6	12	9	8	0	159	0	0	2
ENSG00000228716.2	0	5	1	0	80	0	0	0
ENSG00000112343.8	2	0	0	0	9	0	0	0
ENSG00000270190.1	0	0	0	0	0	0	3	0
ENSG00000241233.1	3	0	0	0	0	0	0	0
ENSG00000262879.1	0	0	0	0	0	0	44	142
ENSG00000162430.12	6	0	11	0	73	0	0	0
ENSG00000267328.1	0	0	0	0	0	0	4	3
ENSG00000230532.1	0	0	0	0	0	0	3	9
ENSG00000237805.1	0	0	0	0	0	0	0	2
ENSG00000181722.11	1	1	3	0	738	0	0	0
ENSG00000154957.9	3	0	1	0	5	0	0	0
ENSG00000162999.8	0	0	4	0	3	0	0	0
