ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000253715.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000163930.5	0.2371	1.9679	0.2960	NaN	2.1573	NaN	NaN	NaN
ENSG00000119878.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000090054.9	NaN	NaN	-1.8846	NaN	0.5287	NaN	NaN	NaN
ENSG00000188676.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000160336.10	NaN	NaN	NaN	NaN	NaN	NaN	-2.0736	0.1231
ENSG00000257896.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000113763.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000179820.11	0.0264	-0.4886	2.8815	NaN	0.2949	NaN	NaN	NaN
ENSG00000225930.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000149599.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000055208.13	-3.9549	1.6825	-0.7326	NaN	0.1090	NaN	NaN	NaN
ENSG00000257493.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000167447.8	-0.6622	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000248802.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000243147.3	NaN	NaN	NaN	NaN	-0.4371	NaN	NaN	-1.1178
ENSG00000181991.11	NaN	NaN	NaN	NaN	-0.7850	NaN	NaN	NaN
ENSG00000141956.9	0.2309	NaN	NaN	NaN	1.2188	NaN	NaN	NaN
ENSG00000201348.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
ENSG00000121104.3	-1.9549	NaN	NaN	NaN	0.3779	NaN	NaN	NaN
ENSG00000197932.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
