ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000253715.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000163930.5	0.2371|0.27835	1.9679|1.26766	0.2960|0.28751	NaN|0.00000	2.1573|17.26120	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000119878.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000090054.9	NaN|0.00000	NaN|0.00000	-1.8846|0.00000	NaN|0.00000	0.5287|4.25912	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000188676.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000160336.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-2.0736|0.00000	0.1231|0.28661
ENSG00000257896.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000113763.6	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.53137	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000179820.11	0.0264|0.00931	-0.4886|0.00000	2.8815|400.00000	NaN|0.00000	0.2949|0.71229	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000225930.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000149599.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.25595	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000055208.13	-3.9549|0.00000	1.6825|2.73187	-0.7326|0.00000	NaN|0.00000	0.1090|0.44865	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000257493.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000167447.8	-0.6622|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000248802.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000243147.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.4371|0.00000	NaN|0.00000	NaN|0.00000	-1.1178|0.00000
ENSG00000181991.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.7850|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000141956.9	0.2309|0.06383	NaN|0.00000	NaN|0.00000	NaN|0.00000	1.2188|10.59643	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000201348.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000121104.3	-1.9549|0.00000	NaN|0.20276	NaN|0.00000	NaN|0.00000	0.3779|1.62578	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000197932.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000204713.6	-0.8450|0.00000	NaN|0.00000	-0.5626|0.00000	NaN|0.00000	-1.2934|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000156110.9	-1.2851|0.00000	NaN|0.00000	NaN|0.42221	NaN|0.00000	-0.4465|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000177138.11	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000273269.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	2.1743|3.76326	1.1515|28.67985
ENSG00000253710.1	NaN|0.00000	NaN|0.00000	-1.8846|0.00000	NaN|0.00000	-1.1101|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000167283.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.2996|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
